"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
0,0.00025
1,0.997
2,0.00275
"multimodality","value"
1,0.99725
2,0.00275
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
0,0.00025
1,0.9995
2,0.00025
"multimodality","value"
1,0.99875
2,0.00125
"multimodality","value"
1,1
"multimodality","value"
1,0.992
2,0.008
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.99525
2,0.00475
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,0.9995
2,5e-04
"multimodality","value"
1,0.999
2,0.001
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.9945
2,0.0055
"multimodality","value"
1,1
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.99925
2,0.00075
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.97325
2,0.0265
3,0.00025
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,1
"multimodality","value"
1,0.9995
2,5e-04
"multimodality","value"
1,1
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,0.9975
2,0.0025
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.9975
2,0.0025
"multimodality","value"
1,0.99925
2,0.00075
"multimodality","value"
1,0.9985
2,0.0015
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,0.9965
2,0.0035
"multimodality","value"
1,0.999
2,0.001
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.99975
2,0.00025
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.9995
2,5e-04
"multimodality","value"
1,1
"multimodality","value"
1,0.9895
2,0.0105
"multimodality","value"
1,0.9995
2,5e-04
"multimodality","value"
1,1
"multimodality","value"
1,0.994
2,0.00575
3,0.00025
"multimodality","value"
1,0.999
2,0.001
"multimodality","value"
1,1
"multimodality","value"
1,0.99725
2,0.00275
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,1
"multimodality","value"
1,0.8185
2,0.1815
